out3-00011650.png: left: y=-3.164398171251956x+105.0392291408426, right: y=2.3610964586816383x+-114.03874909477784, x:35, y:0
out3-00011700.png: left: y=-2.9141390208805196x+122.9764675706342, right: y=1.852247123623408x+-100.20263393643494, x:30, y:0
out3-00011750.png: left: y=-4.057250588220221x+133.65720105388564, right: y=1.8261278089092656x+-86.80117733627667, x:40, y:0
out3-00011800.png: left: y=-8.528248823836906x+124.45728175640355, right: y=1.7976838000470636x+-63.892486637307954, x:45, y:2
out3-00011850.png: left: y=-8.492242977482416x+116.92433786142523, right: y=1.803864839783831x+-63.67530978765215, x:45, y:1
out3-00011900.png: left: y=-8.505506880785614x+116.86231671884505, right: y=1.8102654465703696x+-64.35649550026469, x:45, y:0
out3-00011950.png: left: y=-3.916013089719118x+113.19862012544317, right: y=2.0283872928984374x+-91.04860809531182, x:33, y:9
out3-00012000.png: left: y=-3.874552330919419x+112.8476313821346, right: y=1.9754893181527438x+-87.69386081616987, x:35, y:6
out3-00012050.png: left: y=-3.5918251043551646x+103.73942360648901, right: y=1.9332163739143093x+-92.66400146780536, x:34, y:14
out3-00012100.png: left: y=-5.428585529562726x+90.32069884512879, right: y=2.1784546170339656x+-126.80675059604076, x:29, y:33
out3-00012150.png: left: y=-5.4238880152757485x+76.7587189711333, right: y=2.3678109396984306x+-160.36984049904754, x:33, y:50
out3-00012200.png: left: y=-6.176882557165091x+58.97078893810606, right: y=2.669220945083009x+-208.94295444870104, x:34, y:70
out3-00012250.png: left: y=-7.496974063400581x+51.128962536023074, right: y=2.6249140598143694x+-209.47597971811624, x:29, y:74
out4-00012300.png: left: y=-3.1073514999065988x+114.17919808798048, right: y=2.385455709134149x+-118.10245150183744, x:32, y:0
out4-00012350.png: left: y=-3.978229583398928x+120.2367342433046, right: y=2.3287910460415917x+-113.12217390535251, x:34, y:0
out4-00012400.png: left: y=-3.2249714487176764x+120.9075257865539, right: y=2.2514354267513252x+-113.25879067915585, x:32, y:0
out4-00012450.png: left: y=-4.220065196680481x+121.41205220325752, right: y=2.2568372843141455x+-107.99377386654164, x:28, y:0
out4-00012500.png: left: y=-1.5767596710339429x+105.65835929732991, right: y=2.34179517913096x+-169.75169488592744, x:0, y:0
out4-00012550.png: left: y=-2.3144129030394645x+122.79598428759857, right: y=2.378076506438072x+-153.1323263429761, x:13, y:0
out4-00012600.png: left: y=-3.8537879265633537x+130.4254654764839, right: y=2.29135784026445x+-118.48692874297582, x:29, y:0
out4-00012650.png: left: y=-4.847353630781391x+125.45350441048517, right: y=2.2157059249625473x+-99.38075169155294, x:34, y:0
out4-00012700.png: left: y=-5.08274733377696x+122.36029710627126, right: y=2.109935896805074x+-88.42403269518798, x:37, y:0
out4-00012750.png: left: y=-4.841928883210594x+123.0488767504135, right: y=2.0420651985646736x+-83.74490313641033, x:36, y:0
out4-00012800.png: left: y=-4.968559413060495x+95.68237178903678, right: y=2.0791017929381774x+-118.3014069103503, x:31, y:30
out4-00012850.png: left: y=-1.7097824530789105x+100.00611230267211, right: y=2.18519237047055x+-108.66839528051108, x:24, y:6
out4-00012900.png: left: y=-1.5339766129048125x+96.7897514703018, right: y=1.5902611099426107x+-55.156559598569785, x:33, y:5
out4-00012950.png: left: y=-4.603679423092685x+119.8428282662733, right: y=2.09346138932267x+-89.59983709158072, x:35, y:0
out4-00013000.png: left: y=-2.096225513530345x+87.89484596352219, right: y=2.3183478055362845x+-152.75449095709675, x:23, y:27
